Quantity,Digi-Key_PN
1,ESP32-WROOM-32D (16MB)
1,54602-908LF
1,A3882R-05C-ND
2,IN-PI42TASPRPGPB
1,MAX98357AETE+TCT-ND
1,AS04008CO-R
1,455-1749-1-ND
1,AO3419
2,CD0603-B0340RCT-ND
1,CKN9565-ND
1,AP2111H-3.3TRG1
1,MAX1555EZK+TCT-ND
1,PTVS3V3S1UTR
1,732-5960-1-ND
1,768-1129-1-ND
4,1727-2956-1-ND
1,1528-1104-ND
1,EG1701-ND
1,LV101040A
1,SFH4545
1,LSM6DSMTR
1,1568-1214-ND
1,1568-1827-ND
1,DRV2605LDGSR
